Name_x,Price_x,UnitPrice_x,UnitPriceString,Unit_x,Best_Match,Match_Score,Name_y,Price_y,Amount,Quantity,is_match,Amount_Value,Unit_y,UnitPrice_y,Unit_Difference,Price_Difference
ORGANIC RED LENTILS BEANS - 3 LB,19.99,,,,BRADS ORGANIC LENTIL BEANS,78.43137254901961,BRADS ORGANIC LENTIL BEANS,3.05,15 OZ,1.0,,15.0,OZ,0.2033333333333333,,16.939999999999998
PROGRESSO BREADCRUMB PLAIN 15 OZ - Pack of 6,24.31,,,,PROGRESSO LENTIL,76.92307692307692,PROGRESSO LENTIL,3.79,19 OZ,1.0,,19.0,OZ,0.19947368421052633,,20.52
KOOL-AID CHERRY Unsweetened Drink Mix (12 Packets),11.48,,,,KOOL AID CHERRY,93.33333333333331,KOOL AID CHERRY,5.09,19 OZ,1.0,,19.0,OZ,0.26789473684210524,,6.390000000000001
PEANUT OIL REFINED ORGANIC CARRIER COLD PRESSED 100% PURE 8 OZ,8.99,,,,BRADS ORGANIC CAPER,73.6842105263158,BRADS ORGANIC CAPER,5.45,3.5 OZ,1.0,,3.5,OZ,1.5571428571428572,,3.54
MARTINELLIS Apple Juice (Pack of 2),58.41,,,,MARTINELLIS APPLE JUICE,72.22222222222221,MARTINELLIS APPLE JUICE,2.29,10 OZ,1.0,,10.0,OZ,0.229,,56.12
MARTINELLIS Apple Juice (Pack of 2),58.41,,,,MARTINELLIS APPLE JUICE,72.22222222222221,MARTINELLIS APPLE JUICE,7.65,33.8 OZ,1.0,,33.8,OZ,0.22633136094674558,,50.76
TOP PERCH,39.99,,,,TGIF POPPERS CHEESE STUFFED JALAPENOS,77.77777777777779,TGIF POPPERS CHEESE STUFFED JALAPENOS,7.45,8 OZ,1.0,,8.0,OZ,0.93125,,32.54
"BACARDI Dragonberry Rum, Gluten Free, 750 mL Bottle, ABV 35%",9.98,0.393,39.3 ¢/fl oz,FO,BACARDI COCO,80.0,BACARDI COCO,13.29,750 ML,1.0,,750.0,ML,0.01772,,3.3099999999999987
Golden Technologies - Avenger - Heavy Duty Scooter - 4-Wheel - Red - PHILLIPS POWER PACKAGE TM - $500 VALUE,3573.0,,,,PHILLIPS ORIGINAL,70.58823529411764,PHILLIPS ORIGINAL,6.19,12 OZ,1.0,,12.0,OZ,0.5158333333333334,,3566.81
"HERSHEY'S NUGGETS Milk Chocolate Truffles Easter Candy, 2 Pounds Pack",18.5,,,,HERSHEYS NUGGETS WITH ALMOND,76.59574468085107,HERSHEYS NUGGETS WITH ALMOND,5.85,10.1 OZ,1.0,,10.1,OZ,0.5792079207920792,,12.65
BOOST GLUCOSE CONTROL MAX Very Vanilla 11 fl. oz. Bottle,13.18,,,,BOOST GLUCOSE CONTROL CHOCOLATE 6PK,78.68852459016394,BOOST GLUCOSE CONTROL CHOCOLATE 6PK,15.99,8 OZ,1.0,,8.0,OZ,1.99875,,2.8100000000000005
"HERSHEY'S SPECIAL DARK Cocoa, 8 Oz",84.72,,,,HERSHEYS KISSES SPECIAL DARK,84.0,HERSHEYS KISSES SPECIAL DARK,3.99,10 OZ,1.0,,10.0,OZ,0.399,,80.73
